unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+12528,𒔨,ninda₂ × mash,|NINDA₂×MAŠ|,gurmi
U+12529,𒔩,ninda₂ × pap + pap,|NINDA₂×(PAP.PAP)|,
U+1252A,𒔪,ninda₂ × u,|NINDA₂×U|,udugabaₓ
U+1252B,𒔫,ninda₂ × u + u,|NINDA₂×(U.U)|,minudugabaₓ
U+1252C,𒔬,ninda₂ × uruda,|NINDA₂×URUDA|,
U+1252D,𒔭,sag gunu × ha,|SAG@g×HA|,
U+1252E,𒔮,sag × en,|SAG×EN|,
U+1252F,𒔯,sag × she at left,|KA×ŠE@f|,
U+12530,𒔰,sag × tak₄,|SAG×TAK₄|,birₓ | burₓ
U+12531,𒔱,sha₆ tenu,ŠA₆@t,
U+12532,𒔲,she / she,|ŠE&ŠE|,
U+12533,𒔳,she + hub₂,|(ŠE&ŠE).HUB₂|,
U+12534,𒔴,she + nam₂,|ŠE.NAM₂|,susₓ | šušₓ | šušinₓ
U+12535,𒔵,she + sar,|SAR×ŠE|,
U+12536,𒔶,shu₂ + dug × ni,|ŠU₂.DUG×NI|,
U+12537,𒔷,shu₂ + e₂ × an,|ŠU₂.(E₂×AN)|,
U+12538,𒔸,si × tak₄,|SI×TAK₄|,giriₓ
U+12539,𒔹,tak₄ + sag,|SAG×TAK₄@f|,
U+1253A,𒔺,tum × gan₂ tenu,|TUM×GAN₂@t|,egirₓ | tumₓ
U+1253B,𒔻,tum × three dish,|TUM×(DIŠ.DIŠ.DIŠ)|,
U+1253C,𒔼,ur₂ inv.,UR₂@h,
U+1253D,𒔽,ur₂ × ud,|UR₂×UD|,
U+1253E,𒔾,uru × dara₃,|URU×DARA₃|,
U+1253F,𒔿,uru × lak-668,|URU×LAK668|,
U+12540,𒕀,uru × lu₃,URU@g,
U+12541,𒕁,za₇,ZA7,ZA7 | za7
U+12542,𒕂,zu / zu + sar,|ZU&ZU.SAR|,lumₓ?
U+12543,𒕃,zu₅ × three dish tenu,|ZU₅×(DIŠ@t.DIŠ@t.DIŠ@t)|,
