unicode_id,allograph_sign,allograph_form,allograph_ucun,allograph_type,graphic_variant_id,compound_form,component_position,allographCompound_cun,allographCompound_useq,signList_analogue
U+1207A,|A.HA.TAR.DU|,|A.HA.MUŠ.DU|,𒁺,Type_2,compound,|A.HA.MUŠ.DU|,4,𒀀𒄩𒈲𒁺,U+12000; U+12129; U+12232; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA.TAR.A.DU|,𒀀,Type_2,compound,|A.HA.TAR.A.DU|,1,𒀀𒄩𒋻𒀀𒁺,U+12000; U+12129; U+122FB; U+12000; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.HA.TAR.A.DU|,𒄩,Type_2,compound,|A.HA.TAR.A.DU|,2,𒀀𒄩𒋻𒀀𒁺,U+12000; U+12129; U+122FB; U+12000; U+1207A,
U+122FB,|A.HA.TAR.DU|,|A.HA.TAR.A.DU|,𒋻,Type_2,compound,|A.HA.TAR.A.DU|,3,𒀀𒄩𒋻𒀀𒁺,U+12000; U+12129; U+122FB; U+12000; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA.TAR.A.DU|,𒀀,Type_2,compound,|A.HA.TAR.A.DU|,4,𒀀𒄩𒋻𒀀𒁺,U+12000; U+12129; U+122FB; U+12000; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.HA.TAR.A.DU|,𒁺,Type_2,compound,|A.HA.TAR.A.DU|,5,𒀀𒄩𒋻𒀀𒁺,U+12000; U+12129; U+122FB; U+12000; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA.TAR.UD.DU|,𒀀,Type_2,compound,|A.HA.TAR.UD.DU|,1,𒀀𒄩𒋻𒌓𒁺,U+12000; U+12129; U+122FB; U+12313; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.HA.TAR.UD.DU|,𒄩,Type_2,compound,|A.HA.TAR.UD.DU|,2,𒀀𒄩𒋻𒌓𒁺,U+12000; U+12129; U+122FB; U+12313; U+1207A,
U+122FB,|A.HA.TAR.DU|,|A.HA.TAR.UD.DU|,𒋻,Type_2,compound,|A.HA.TAR.UD.DU|,3,𒀀𒄩𒋻𒌓𒁺,U+12000; U+12129; U+122FB; U+12313; U+1207A,
U+12313,|A.HA.TAR.DU|,|A.HA.TAR.UD.DU|,𒌓,Type_2,compound,|A.HA.TAR.UD.DU|,4,𒀀𒄩𒋻𒌓𒁺,U+12000; U+12129; U+122FB; U+12313; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.HA.TAR.UD.DU|,𒁺,Type_2,compound,|A.HA.TAR.UD.DU|,5,𒀀𒄩𒋻𒌓𒁺,U+12000; U+12129; U+122FB; U+12313; U+1207A,
,|A.HA.TAR.DU|,BU,𒀀𒄩𒋻𒁺,Type_3,AHATARDU_v1,,,,,LAK232 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY213 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL265 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU148 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES131 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL115 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL339 [Hittite period (~1650–1180 BCE) | Hittite]; KWU385 [Ur III (~2112–2004 BCE) | Administrative]; MZL580 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP335 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA371 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12000,|A.HA.TAR.DU|,|A.BU.HA.DA|,𒀀,Type_2,compound,|A.BU.HA.DA|,1,𒀀𒁍𒄩𒁕,U+12000; U+1204D; U+12129; U+12055,
U+1204D,|A.HA.TAR.DU|,|A.BU.HA.DA|,𒁍,Type_2,compound,|A.BU.HA.DA|,2,𒀀𒁍𒄩𒁕,U+12000; U+1204D; U+12129; U+12055,
U+12129,|A.HA.TAR.DU|,|A.BU.HA.DA|,𒄩,Type_2,compound,|A.BU.HA.DA|,3,𒀀𒁍𒄩𒁕,U+12000; U+1204D; U+12129; U+12055,
U+12055,|A.HA.TAR.DU|,|A.BU.HA.DA|,𒁕,Type_2,compound,|A.BU.HA.DA|,4,𒀀𒁍𒄩𒁕,U+12000; U+1204D; U+12129; U+12055,
U+1204D,|A.HA.TAR.DU|,|BU.HA.DU|,𒁍,Type_2,compound,|BU.HA.DU|,1,𒁍𒄩𒁺,U+1204D; U+12129; U+1207A,
U+12129,|A.HA.TAR.DU|,|BU.HA.DU|,𒄩,Type_2,compound,|BU.HA.DU|,2,𒁍𒄩𒁺,U+1204D; U+12129; U+1207A,
U+1207A,|A.HA.TAR.DU|,|BU.HA.DU|,𒁺,Type_2,compound,|BU.HA.DU|,3,𒁍𒄩𒁺,U+1204D; U+12129; U+1207A,
U+12129,|A.HA.TAR.DU|,|HA.A.DU|,𒄩,Type_2,compound,|HA.A.DU|,1,𒄩𒀀𒁺,U+12129; U+12000; U+1207A,
U+12000,|A.HA.TAR.DU|,|HA.A.DU|,𒀀,Type_2,compound,|HA.A.DU|,2,𒄩𒀀𒁺,U+12129; U+12000; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA.A.DU|,𒁺,Type_2,compound,|HA.A.DU|,3,𒄩𒀀𒁺,U+12129; U+12000; U+1207A,
U+12129,|A.HA.TAR.DU|,|HA.A.TAR|,𒄩,Type_2,compound,|HA.A.TAR|,1,𒄩𒀀𒋻,U+12129; U+12000; U+122FB,
U+12000,|A.HA.TAR.DU|,|HA.A.TAR|,𒀀,Type_2,compound,|HA.A.TAR|,2,𒄩𒀀𒋻,U+12129; U+12000; U+122FB,
U+122FB,|A.HA.TAR.DU|,|HA.A.TAR|,𒋻,Type_2,compound,|HA.A.TAR|,3,𒄩𒀀𒋻,U+12129; U+12000; U+122FB,
U+12000,|A.HA.TAR.DU|,|A.TAR|,𒀀,Type_2,compound,|A.TAR|,1,𒀀𒋻,U+12000; U+122FB,
U+122FB,|A.HA.TAR.DU|,|A.TAR|,𒋻,Type_2,compound,|A.TAR|,2,𒀀𒋻,U+12000; U+122FB,
U+12129,|A.HA.TAR.DU|,|HA.A.TAR.DU|,𒄩,Type_2,compound,|HA.A.TAR.DU|,1,𒄩𒀀𒋻𒁺,U+12129; U+12000; U+122FB; U+1207A,
U+12000,|A.HA.TAR.DU|,|HA.A.TAR.DU|,𒀀,Type_2,compound,|HA.A.TAR.DU|,2,𒄩𒀀𒋻𒁺,U+12129; U+12000; U+122FB; U+1207A,
U+122FB,|A.HA.TAR.DU|,|HA.A.TAR.DU|,𒋻,Type_2,compound,|HA.A.TAR.DU|,3,𒄩𒀀𒋻𒁺,U+12129; U+12000; U+122FB; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA.A.TAR.DU|,𒁺,Type_2,compound,|HA.A.TAR.DU|,4,𒄩𒀀𒋻𒁺,U+12129; U+12000; U+122FB; U+1207A,
U+12129,|A.HA.TAR.DU|,|HA.DU|,𒄩,Type_2,compound,|HA.DU|,1,𒄩𒁺,U+12129; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA.DU|,𒁺,Type_2,compound,|HA.DU|,2,𒄩𒁺,U+12129; U+1207A,
U+12129,|A.HA.TAR.DU|,|HA.MUŠ.DU|,𒄩,Type_2,compound,|HA.MUŠ.DU|,1,𒄩𒈲𒁺,U+12129; U+12232; U+1207A,
U+12232,|A.HA.TAR.DU|,|HA.MUŠ.DU|,𒈲,Type_2,compound,|HA.MUŠ.DU|,2,𒄩𒈲𒁺,U+12129; U+12232; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA.MUŠ.DU|,𒁺,Type_2,compound,|HA.MUŠ.DU|,3,𒄩𒈲𒁺,U+12129; U+12232; U+1207A,
U+12129,|A.HA.TAR.DU|,|HA.MUŠ.A.DU|,𒄩,Type_2,compound,|HA.MUŠ.A.DU|,1,𒄩𒈲𒀀𒁺,U+12129; U+12232; U+12000; U+1207A,
U+12232,|A.HA.TAR.DU|,|HA.MUŠ.A.DU|,𒈲,Type_2,compound,|HA.MUŠ.A.DU|,2,𒄩𒈲𒀀𒁺,U+12129; U+12232; U+12000; U+1207A,
U+12000,|A.HA.TAR.DU|,|HA.MUŠ.A.DU|,𒀀,Type_2,compound,|HA.MUŠ.A.DU|,3,𒄩𒈲𒀀𒁺,U+12129; U+12232; U+12000; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA.MUŠ.A.DU|,𒁺,Type_2,compound,|HA.MUŠ.A.DU|,4,𒄩𒈲𒀀𒁺,U+12129; U+12232; U+12000; U+1207A,
U+12129,|A.HA.TAR.DU|,|HA.TAR.A.DU|,𒄩,Type_2,compound,|HA.TAR.A.DU|,1,𒄩𒋻𒀀𒁺,U+12129; U+122FB; U+12000; U+1207A,
U+122FB,|A.HA.TAR.DU|,|HA.TAR.A.DU|,𒋻,Type_2,compound,|HA.TAR.A.DU|,2,𒄩𒋻𒀀𒁺,U+12129; U+122FB; U+12000; U+1207A,
U+12000,|A.HA.TAR.DU|,|HA.TAR.A.DU|,𒀀,Type_2,compound,|HA.TAR.A.DU|,3,𒄩𒋻𒀀𒁺,U+12129; U+122FB; U+12000; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA.TAR.A.DU|,𒁺,Type_2,compound,|HA.TAR.A.DU|,4,𒄩𒋻𒀀𒁺,U+12129; U+122FB; U+12000; U+1207A,
U+12129,|A.HA.TAR.DU|,|HA.TAR.DU|,𒄩,Type_2,compound,|HA.TAR.DU|,1,𒄩𒋻𒁺,U+12129; U+122FB; U+1207A,
U+122FB,|A.HA.TAR.DU|,|HA.TAR.DU|,𒋻,Type_2,compound,|HA.TAR.DU|,2,𒄩𒋻𒁺,U+12129; U+122FB; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA.TAR.DU|,𒁺,Type_2,compound,|HA.TAR.DU|,3,𒄩𒋻𒁺,U+12129; U+122FB; U+1207A,
U+1212B,|A.HA.TAR.DU|,|HA@g.TAR.A.DU|,𒄫,Type_2,compound,|HA@g.TAR.A.DU|,1,𒄫𒋻𒀀𒁺,U+1212B; U+122FB; U+12000; U+1207A,
U+122FB,|A.HA.TAR.DU|,|HA@g.TAR.A.DU|,𒋻,Type_2,compound,|HA@g.TAR.A.DU|,2,𒄫𒋻𒀀𒁺,U+1212B; U+122FB; U+12000; U+1207A,
U+12000,|A.HA.TAR.DU|,|HA@g.TAR.A.DU|,𒀀,Type_2,compound,|HA@g.TAR.A.DU|,3,𒄫𒋻𒀀𒁺,U+1212B; U+122FB; U+12000; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA@g.TAR.A.DU|,𒁺,Type_2,compound,|HA@g.TAR.A.DU|,4,𒄫𒋻𒀀𒁺,U+1212B; U+122FB; U+12000; U+1207A,
U+1212B,|A.HA.TAR.DU|,|HA@g.TAR.DU|,𒄫,Type_2,compound,|HA@g.TAR.DU|,1,𒄫𒋻𒁺,U+1212B; U+122FB; U+1207A,
U+122FB,|A.HA.TAR.DU|,|HA@g.TAR.DU|,𒋻,Type_2,compound,|HA@g.TAR.DU|,2,𒄫𒋻𒁺,U+1212B; U+122FB; U+1207A,
U+1207A,|A.HA.TAR.DU|,|HA@g.TAR.DU|,𒁺,Type_2,compound,|HA@g.TAR.DU|,3,𒄫𒋻𒁺,U+1212B; U+122FB; U+1207A,
U+12232,|A.HA.TAR.DU|,|MUŠ.A.HA.DU|,𒈲,Type_2,compound,|MUŠ.A.HA.DU|,1,𒈲𒀀𒄩𒁺,U+12232; U+12000; U+12129; U+1207A,
U+12000,|A.HA.TAR.DU|,|MUŠ.A.HA.DU|,𒀀,Type_2,compound,|MUŠ.A.HA.DU|,2,𒈲𒀀𒄩𒁺,U+12232; U+12000; U+12129; U+1207A,
