unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+12431,𒐱,five sharu,5(ŠARU),5(šarʾu) | 5(šaru) | 5(šarʾu@c) | 5(šaru@c) | 5(šaru@v) | 5(šarʾu@v)
U+12432,𒐲,shar₂ × gal + dish,|ŠAR₂×(GAL.DIŠ)|,šargaldiš
U+12434,𒐴,one buru,U@g,burʾu | 1(burʾu) | burʾuₓ | burʾu@c | 1(burʾu@c)
U+12435,𒐵,two buru,2(BURU),nišₓ | 2(burʾu) | 2(burʾu@c)
U+12436,𒐶,three buru,3(BURU),ušuₓ | 3(burʾu) | 3(burʾu@c)
U+12437,𒐷,three buru variant form,3(BURU@v),3(burʾu)@v | 3(burʾu@c)@v
U+12438,𒐸,four buru,4(BURU),niminₓ | 4(burʾu) | 4(burʾu@c)
U+12439,𒐹,five buru,5(BURU),buriaₓ | ninnuₓ | 5(burʾu) | 5(burʾu@c)
U+1243A,𒐺,three variant form esh₁₆,,
U+1243B,𒐻,three variant form esh₂₁,3(AŠ~b),3(aš)@v | eš₂₁ | 3(aš@c)@v | 3(iku)@v
U+1243C,𒐼,four variant form limmu,LIMMU,lammu | limmu | limu | 4(diš)@v
U+1243D,𒐽,four variant form limmu₄,4(AŠ~a),limmu₄ | 4(aš@v) | 4(aš@v@c)
U+1243E,𒐾,four variant form limmu a,LIMMU~a,limmuₓ | 4(diš@v) | 4(diš)~a
U+1243F,𒐿,four variant form limmu b,LIMMU~b,limmuₓ | 4(diš@v)~b | 4(diš)~b
U+12440,𒑀,six variant form ash₉,6(AŠ~a),6(aš@v) | aš₉ | 6(aš@v@c)
